iter	Passed	Remaining
0	207	206893
1	208	104206
2	210	69912
3	212	52794
4	213	42499
5	215	35643
6	216	30753
7	218	27112
8	220	24261
9	221	21976
10	223	20109
11	225	18563
12	227	17235
13	228	16095
14	230	15111
15	231	14253
16	235	13617
17	237	12960
18	239	12366
19	241	11845
20	244	11385
21	246	10974
22	249	10599
23	251	10230
24	254	9916
25	257	9642
26	259	9344
27	261	9076
28	264	8841
29	266	8606
30	268	8385
31	270	8195
32	273	8007
33	275	7823
34	277	7647
35	279	7482
36	281	7327
37	284	7192
38	286	7062
39	293	7040
40	295	6912
41	297	6792
42	301	6703
43	304	6615
44	306	6510
45	318	6607
46	326	6629
47	331	6582
48	335	6502
49	337	6408
50	340	6330
51	344	6272
52	346	6185
53	348	6101
54	350	6023
55	353	5952
56	361	5973
57	363	5899
58	366	5837
59	369	5781
60	370	5710
61	372	5642
62	374	5574
63	376	5507
64	379	5457
65	381	5401
66	386	5385
67	387	5313
68	391	5288
69	394	5245
70	398	5211
71	404	5217
72	408	5181
73	410	5134
74	412	5087
75	420	5106
76	425	5105
77	433	5121
78	439	5121
79	441	5078
80	444	5044
81	446	4999
82	448	4956
83	452	4931
84	453	4883
85	459	4886
86	461	4840
87	464	4812
88	468	4792
89	472	4776
90	474	4742
91	477	4712
92	482	4701
93	484	4669
94	489	4659
95	491	4631
96	497	4628
97	503	4630
98	506	4607
99	508	4573
100	517	4602
101	518	4563
102	521	4545
103	524	4515
104	529	4509
105	533	4498
106	535	4471
107	537	4440
108	539	4413
109	545	4417
110	548	4395
111	550	4365
112	552	4335
113	559	4344
114	563	4339
115	565	4309
116	567	4286
117	576	4305
118	578	4283
119	580	4260
120	592	4303
121	595	4286
122	596	4255
123	598	4230
124	603	4222
125	605	4199
126	607	4176
127	608	4147
128	610	4125
129	613	4103
130	615	4082
131	619	4075
132	622	4055
133	624	4033
134	626	4015
135	628	3995
136	632	3981
137	633	3958
138	635	3938
139	638	3919
140	640	3899
141	642	3880
142	649	3893
143	652	3878
144	654	3859
145	656	3841
146	658	3823
147	661	3806
148	670	3827
149	672	3809
150	674	3791
151	676	3773
152	682	3776
153	684	3762
154	687	3748
155	690	3736
156	696	3741
157	700	3732
158	701	3712
159	703	3693
160	705	3674
161	706	3655
162	712	3657
163	716	3651
164	718	3635
165	719	3617
166	721	3598
167	723	3581
168	727	3575
169	729	3559
170	730	3543
171	732	3527
172	734	3510
173	736	3494
174	737	3478
175	742	3475
176	745	3467
177	748	3455
178	749	3438
179	751	3421
180	751	3401
181	753	3385
182	757	3381
183	759	3368
184	761	3352
185	762	3338
186	764	3322
187	765	3307
188	767	3293
189	771	3290
190	773	3278
191	775	3265
192	777	3251
193	779	3237
194	780	3222
195	782	3209
196	785	3200
197	787	3189
198	789	3177
199	791	3165
200	793	3155
201	796	3145
202	797	3132
203	800	3123
204	803	3114
205	805	3103
206	807	3092
207	809	3081
208	811	3070
209	814	3062
210	816	3052
211	818	3041
212	820	3031
213	824	3029
214	827	3022
215	831	3019
216	833	3007
217	835	2997
218	837	2985
219	838	2973
220	840	2961
221	841	2949
222	844	2941
223	846	2932
224	848	2921
225	849	2910
226	853	2904
227	854	2894
228	856	2883
229	857	2872
230	860	2865
231	862	2854
232	863	2843
233	865	2832
234	866	2822
235	868	2811
236	870	2801
237	871	2790
238	874	2785
239	877	2777
240	879	2769
241	880	2759
242	882	2748
243	883	2737
244	884	2726
245	885	2715
246	887	2704
247	888	2694
248	890	2684
249	891	2674
250	892	2663
251	893	2653
252	895	2642
253	896	2632
254	897	2621
255	898	2611
256	899	2601
257	901	2591
258	902	2581
259	903	2572
260	905	2563
261	906	2553
262	907	2544
263	909	2534
264	910	2524
265	911	2515
266	912	2505
267	913	2496
268	915	2486
269	916	2477
270	917	2468
271	919	2461
272	921	2452
273	922	2443
274	923	2434
275	924	2425
276	925	2416
277	926	2407
278	928	2398
279	929	2389
280	930	2381
281	931	2372
282	933	2364
283	934	2357
284	936	2348
285	937	2340
286	938	2331
287	939	2323
288	941	2315
289	942	2306
290	943	2298
291	944	2290
292	945	2282
293	947	2274
294	948	2266
295	950	2260
296	951	2252
297	952	2244
298	953	2236
299	955	2228
300	956	2220
301	957	2212
302	958	2205
303	960	2198
304	961	2191
305	963	2185
306	965	2179
307	966	2171
308	967	2164
309	969	2157
310	970	2149
311	971	2142
312	972	2135
313	974	2129
314	976	2123
315	978	2118
316	980	2112
317	981	2105
318	983	2099
319	984	2092
320	986	2085
321	987	2079
322	988	2072
323	990	2066
324	992	2061
325	1000	2067
326	1003	2065
327	1005	2059
328	1007	2054
329	1010	2052
330	1013	2048
331	1017	2046
332	1018	2040
333	1020	2034
334	1022	2029
335	1025	2026
336	1027	2020
337	1028	2015
338	1030	2008
339	1031	2002
340	1033	1996
341	1034	1990
342	1035	1983
343	1037	1977
344	1038	1972
345	1040	1966
346	1041	1960
347	1043	1954
348	1044	1948
349	1046	1942
350	1047	1937
351	1049	1931
352	1050	1925
353	1051	1919
354	1053	1914
355	1055	1909
356	1056	1903
357	1058	1897
358	1059	1892
359	1061	1886
360	1062	1881
361	1064	1875
362	1065	1870
363	1067	1865
364	1070	1861
365	1071	1856
366	1073	1851
367	1074	1846
368	1076	1840
369	1078	1835
370	1079	1830
371	1081	1825
372	1084	1822
373	1085	1817
374	1087	1812
375	1089	1807
376	1090	1802
377	1092	1797
378	1093	1792
379	1095	1787
380	1096	1782
381	1099	1778
382	1101	1774
383	1104	1771
384	1106	1766
385	1107	1762
386	1109	1757
387	1111	1752
388	1115	1752
389	1117	1747
390	1119	1743
391	1120	1738
392	1122	1733
393	1124	1728
394	1125	1724
395	1127	1719
396	1129	1715
397	1131	1711
398	1133	1706
399	1134	1702
400	1136	1697
401	1137	1692
402	1139	1687
403	1141	1683
404	1143	1680
405	1145	1676
406	1147	1671
407	1149	1667
408	1150	1662
409	1152	1658
410	1153	1653
411	1155	1649
412	1157	1644
413	1160	1642
414	1162	1638
415	1163	1633
416	1165	1629
417	1167	1625
418	1168	1620
419	1170	1616
420	1172	1611
421	1173	1607
422	1175	1603
423	1177	1599
424	1178	1594
425	1180	1590
426	1182	1586
427	1184	1582
428	1185	1577
429	1187	1574
430	1189	1570
431	1191	1566
432	1193	1562
433	1195	1558
434	1196	1554
435	1198	1550
436	1200	1546
437	1202	1542
438	1204	1538
439	1205	1534
440	1207	1530
441	1209	1526
442	1210	1521
443	1211	1517
444	1213	1513
445	1214	1508
446	1216	1504
447	1218	1500
448	1219	1496
449	1220	1491
450	1222	1487
451	1223	1483
452	1224	1479
453	1226	1474
454	1227	1470
455	1229	1466
456	1231	1463
457	1233	1459
458	1234	1455
459	1235	1450
460	1237	1446
461	1238	1442
462	1240	1438
463	1241	1434
464	1243	1430
465	1245	1426
466	1247	1423
467	1248	1419
468	1249	1415
469	1251	1411
470	1252	1407
471	1254	1403
472	1255	1399
473	1257	1395
474	1259	1392
475	1261	1388
476	1263	1385
477	1264	1381
478	1266	1377
479	1267	1373
480	1269	1369
481	1270	1365
482	1272	1361
483	1275	1359
484	1276	1355
485	1278	1351
486	1279	1348
487	1281	1344
488	1282	1340
489	1284	1336
490	1286	1333
491	1287	1329
492	1290	1326
493	1291	1322
494	1293	1319
495	1294	1315
496	1296	1311
497	1297	1308
498	1299	1304
499	1300	1300
500	1301	1296
501	1303	1292
502	1305	1289
503	1306	1286
504	1308	1282
505	1309	1278
506	1310	1274
507	1312	1270
508	1313	1267
509	1314	1263
510	1316	1259
511	1317	1255
512	1318	1252
513	1320	1248
514	1322	1245
515	1323	1241
516	1324	1237
517	1325	1233
518	1326	1229
519	1328	1225
520	1329	1222
521	1330	1218
522	1331	1214
523	1333	1210
524	1334	1207
525	1336	1204
526	1337	1200
527	1338	1196
528	1339	1192
529	1341	1189
530	1342	1185
531	1343	1181
532	1344	1178
533	1345	1174
534	1347	1170
535	1348	1167
536	1350	1164
537	1351	1160
538	1352	1156
539	1353	1153
540	1355	1149
541	1356	1145
542	1357	1142
543	1358	1138
544	1359	1135
545	1360	1131
546	1361	1127
547	1363	1124
548	1365	1121
549	1366	1117
550	1367	1114
551	1368	1110
552	1370	1107
553	1371	1103
554	1372	1100
555	1373	1096
556	1374	1093
557	1375	1089
558	1377	1086
559	1378	1083
560	1380	1080
561	1381	1076
562	1382	1073
563	1384	1070
564	1385	1066
565	1387	1063
566	1388	1060
567	1389	1057
568	1391	1053
569	1392	1050
570	1394	1047
571	1396	1044
572	1398	1041
573	1399	1038
574	1400	1035
575	1401	1031
576	1402	1028
577	1404	1025
578	1405	1021
579	1406	1018
580	1407	1015
581	1409	1012
582	1411	1009
583	1412	1006
584	1413	1002
585	1414	999
586	1416	996
587	1417	992
588	1418	989
589	1419	986
590	1420	983
591	1421	979
592	1423	976
593	1424	973
594	1426	970
595	1427	967
596	1429	964
597	1430	961
598	1431	958
599	1433	955
600	1434	952
601	1435	949
602	1436	945
603	1438	942
604	1439	939
605	1441	936
606	1442	933
607	1443	930
608	1444	927
609	1445	924
610	1446	921
611	1448	918
612	1449	914
613	1450	911
614	1451	908
615	1453	905
616	1454	902
617	1456	900
618	1457	897
619	1459	894
620	1460	891
621	1461	888
622	1462	885
623	1463	882
624	1465	879
625	1466	876
626	1467	872
627	1468	869
628	1469	866
629	1471	863
630	1472	860
631	1473	857
632	1474	854
633	1475	851
634	1476	848
635	1477	845
636	1479	842
637	1480	839
638	1481	836
639	1482	833
640	1483	831
641	1485	828
642	1486	825
643	1487	822
644	1488	819
645	1489	816
646	1490	813
647	1492	810
648	1493	807
649	1494	804
650	1495	801
651	1496	798
652	1497	795
653	1499	793
654	1500	790
655	1501	787
656	1502	784
657	1503	781
658	1504	778
659	1506	775
660	1507	772
661	1508	770
662	1509	767
663	1510	764
664	1511	761
665	1513	758
666	1514	756
667	1516	753
668	1517	750
669	1518	748
670	1520	745
671	1521	742
672	1523	740
673	1524	737
674	1525	734
675	1527	731
676	1528	729
677	1529	726
678	1531	723
679	1532	721
680	1534	718
681	1535	715
682	1536	713
683	1538	710
684	1539	707
685	1540	705
686	1542	702
687	1543	700
688	1544	697
689	1546	694
690	1547	692
691	1549	689
692	1550	686
693	1551	684
694	1553	681
695	1554	678
696	1555	676
697	1557	673
698	1558	671
699	1560	668
700	1561	666
701	1562	663
702	1564	660
703	1565	658
704	1567	655
705	1567	652
706	1569	650
707	1570	647
708	1571	645
709	1573	642
710	1575	640
711	1576	637
712	1577	635
713	1579	632
714	1580	630
715	1582	627
716	1583	624
717	1585	622
718	1587	620
719	1589	617
720	1590	615
721	1591	612
722	1593	610
723	1594	607
724	1595	605
725	1597	602
726	1598	600
727	1600	597
728	1601	595
729	1602	592
730	1604	590
731	1605	587
732	1606	585
733	1608	582
734	1609	580
735	1610	577
736	1612	575
737	1613	572
738	1615	570
739	1616	567
740	1617	565
741	1619	562
742	1620	560
743	1621	558
744	1623	555
745	1624	553
746	1625	550
747	1627	548
748	1628	545
749	1630	543
750	1631	540
751	1632	538
752	1634	536
753	1635	533
754	1636	531
755	1638	528
756	1639	526
757	1640	523
758	1642	521
759	1643	519
760	1645	516
761	1646	514
762	1647	511
763	1648	509
764	1649	506
765	1651	504
766	1652	501
767	1653	499
768	1654	497
769	1655	494
770	1657	492
771	1658	489
772	1659	487
773	1660	484
774	1661	482
775	1662	480
776	1664	477
777	1665	475
778	1666	472
779	1667	470
780	1668	467
781	1670	465
782	1671	463
783	1672	460
784	1674	458
785	1675	456
786	1677	453
787	1678	451
788	1679	449
789	1681	446
790	1682	444
791	1684	442
792	1685	439
793	1686	437
794	1687	435
795	1688	432
796	1690	430
797	1691	428
798	1692	425
799	1693	423
800	1694	421
801	1695	418
802	1697	416
803	1698	413
804	1699	411
805	1700	409
806	1701	406
807	1702	404
808	1704	402
809	1705	399
810	1706	397
811	1707	395
812	1708	393
813	1709	390
814	1711	388
815	1712	386
816	1713	383
817	1714	381
818	1715	379
819	1716	376
820	1718	374
821	1719	372
822	1720	370
823	1721	367
824	1722	365
825	1724	363
826	1725	360
827	1726	358
828	1727	356
829	1728	354
830	1730	351
831	1731	349
832	1732	347
833	1733	345
834	1734	342
835	1736	340
836	1737	338
837	1738	336
838	1739	333
839	1740	331
840	1742	329
841	1743	327
842	1744	324
843	1745	322
844	1747	320
845	1748	318
846	1749	315
847	1750	313
848	1751	311
849	1752	309
850	1754	307
851	1755	304
852	1756	302
853	1757	300
854	1758	298
855	1759	296
856	1761	293
857	1762	291
858	1763	289
859	1764	287
860	1765	285
861	1767	282
862	1768	280
863	1769	278
864	1770	276
865	1771	274
866	1773	272
867	1774	269
868	1775	267
869	1776	265
870	1777	263
871	1779	261
872	1780	258
