iter	Passed	Remaining
0	247	247612
1	252	126157
2	255	84848
3	257	64200
4	260	51758
5	263	43581
6	267	37899
7	269	33426
8	271	29919
9	274	27128
10	282	25430
11	285	23490
12	287	21834
13	289	20418
14	295	19383
15	297	18269
16	298	17285
17	300	16401
18	302	15615
19	304	14911
20	306	14275
21	309	13751
22	311	13249
23	313	12748
24	315	12289
25	316	11863
26	318	11470
27	319	11107
28	323	10830
29	325	10512
30	326	10214
31	328	9933
32	330	9670
33	331	9419
34	333	9183
35	334	8960
36	337	8797
37	339	8602
38	341	8414
39	343	8233
40	345	8071
41	347	7918
42	349	7768
43	356	7750
44	359	7626
45	361	7498
46	363	7378
47	366	7271
48	369	7168
49	371	7064
50	373	6956
51	378	6904
52	381	6821
53	383	6722
54	385	6627
55	387	6533
56	389	6441
57	393	6388
58	397	6339
59	399	6260
60	401	6180
61	403	6100
62	405	6024
63	409	5987
64	411	5917
65	413	5848
66	415	5785
67	417	5722
68	419	5662
69	424	5634
70	426	5579
71	428	5520
72	431	5481
73	433	5430
74	436	5383
75	439	5345
76	444	5328
77	456	5392
78	458	5348
79	461	5303
80	464	5270
81	489	5484
82	491	5426
83	493	5380
84	495	5335
85	498	5295
86	502	5270
87	506	5253
88	509	5218
89	513	5187
90	516	5156
91	518	5121
92	521	5083
93	522	5038
94	524	4994
95	525	4952
96	527	4909
97	530	4883
98	534	4860
99	538	4843
100	541	4816
101	543	4783
102	547	4769
103	550	4745
104	553	4716
105	555	4687
106	562	4694
107	565	4673
108	567	4642
109	569	4610
110	571	4578
111	573	4547
112	578	4540
113	590	4588
114	595	4581
115	597	4555
116	603	4552
117	608	4550
118	611	4524
119	614	4507
120	616	4480
121	629	4533
122	632	4506
123	635	4490
124	645	4516
125	647	4492
126	649	4464
127	657	4478
128	662	4474
129	665	4451
130	667	4427
131	695	4574
132	698	4551
133	701	4530
134	704	4514
135	713	4533
136	716	4511
137	718	4489
138	721	4467
139	723	4444
140	725	4421
141	729	4410
142	732	4389
143	734	4366
144	736	4344
145	739	4323
146	741	4302
147	745	4289
148	764	4364
149	769	4359
150	771	4338
151	774	4320
